,Penyakit,Gejala_1,Gejala_2,Gejala_3,Gejala_4
2249,penyakit hepatitis A,Nyeri sendi,Muntah,Kulit kekuningan,Urin berwarna gelap
2250,Penyakit Hepatitis B,Gatal,Lelah,Lesu,Kulit kekuningan
2251,Penyakit Hepatitis B,Gatal,Lelah,Lesu,Kulit kekuningan
2252,Penyakit Hepatitis B,Lelah,Lesu,Kulit kekuningan,Urin berwarna gelap
2253,Penyakit Hepatitis B,Gatal,Lesu,Kulit kekuningan,Urin berwarna gelap
2254,Penyakit Hepatitis B,Gatal,Lelah,Kulit kekuningan,Urin berwarna gelap
2255,Penyakit Hepatitis B,Gatal,Lelah,Lesu,Urin berwarna gelap
2256,Penyakit Hepatitis B,Gatal,Lelah,Lesu,Kulit kekuningan
2257,Penyakit Hepatitis B,Gatal,Lelah,Lesu,Kulit kekuningan
2258,Penyakit Hepatitis B,Gatal,Lelah,Lesu,Kulit kekuningan
2259,Penyakit Hepatitis B,Gatal,Lelah,Lesu,Kulit kekuningan
2260,Penyakit Hepatitis C,Lelah,Kulit kekuningan,Mual,Hilang nafsu makan
2261,Penyakit Hepatitis C,Lelah,Kulit kekuningan,Mual,Hilang nafsu makan
2262,Penyakit Hepatitis C,Kulit kekuningan,Mual,Hilang nafsu makan,Mata menguning
2263,Penyakit Hepatitis C,Lelah,Mual,Hilang nafsu makan,Mata menguning
2264,Penyakit Hepatitis C,Lelah,Kulit kekuningan,Hilang nafsu makan,Mata menguning
2265,Penyakit Hepatitis C,Lelah,Kulit kekuningan,Mual,Mata menguning
2266,Penyakit Hepatitis C,Lelah,Kulit kekuningan,Mual,Hilang nafsu makan
2267,Penyakit Hepatitis C,Lelah,Kulit kekuningan,Mual,Hilang nafsu makan
2268,Penyakit Hepatitis C,Lelah,Kulit kekuningan,Mual,Hilang nafsu makan
2269,Penyakit Hepatitis C,Lelah,Kulit kekuningan,Mual,Hilang nafsu makan
2270,Penyakit Hepatitis D.,Nyeri sendi,Muntah,Lelah,Kulit kekuningan
2271,Penyakit Hepatitis D.,Muntah,Lelah,Kulit kekuningan,Urin berwarna gelap
2272,Penyakit Hepatitis D.,Nyeri sendi,Lelah,Kulit kekuningan,Urin berwarna gelap
2273,Penyakit Hepatitis D.,Nyeri sendi,Muntah,Kulit kekuningan,Urin berwarna gelap
2274,Penyakit Hepatitis D.,Nyeri sendi,Muntah,Lelah,Urin berwarna gelap
2275,Penyakit Hepatitis D.,Nyeri sendi,Muntah,Lelah,Kulit kekuningan
2276,Penyakit Hepatitis D.,Nyeri sendi,Muntah,Lelah,Kulit kekuningan
2277,Penyakit Hepatitis D.,Nyeri sendi,Muntah,Lelah,Kulit kekuningan
2278,Penyakit Hepatitis D.,Nyeri sendi,Muntah,Lelah,Kulit kekuningan
2279,Penyakit Hepatitis D.,Nyeri sendi,Muntah,Lelah,Kulit kekuningan
2280,Hepatitis E,Nyeri sendi,Muntah,Lelah,Demam tinggi
2281,Hepatitis E,Nyeri sendi,Muntah,Lelah,Demam tinggi
2282,Hepatitis E,Nyeri sendi,Muntah,Lelah,Demam tinggi
2283,Hepatitis E,Muntah,Lelah,Demam tinggi,Kulit kekuningan
2284,Hepatitis E,Nyeri sendi,Lelah,Demam tinggi,Kulit kekuningan
2285,Hepatitis E,Nyeri sendi,Muntah,Demam tinggi,Kulit kekuningan
2286,Hepatitis E,Nyeri sendi,Muntah,Lelah,Kulit kekuningan
2287,Hepatitis E,Nyeri sendi,Muntah,Lelah,Demam tinggi
2288,Hepatitis E,Nyeri sendi,Muntah,Lelah,Demam tinggi
2289,Hepatitis E,Nyeri sendi,Muntah,Lelah,Demam tinggi
2290,Hepatitis alkoholik,Muntah,Kulit kekuningan,Sakit perut bagian bawah,Perut bengkak
2291,Hepatitis alkoholik,Muntah,Kulit kekuningan,Sakit perut bagian bawah,Perut bengkak
2292,Hepatitis alkoholik,Kulit kekuningan,Sakit perut bagian bawah,Perut bengkak,Perut kembung atau bengkak
2293,Hepatitis alkoholik,Muntah,Sakit perut bagian bawah,Perut bengkak,Perut kembung atau bengkak
2294,Hepatitis alkoholik,Muntah,Kulit kekuningan,Perut bengkak,Perut kembung atau bengkak
2295,Hepatitis alkoholik,Muntah,Kulit kekuningan,Sakit perut bagian bawah,Perut kembung atau bengkak
2296,Hepatitis alkoholik,Muntah,Kulit kekuningan,Sakit perut bagian bawah,Perut bengkak
2297,Hepatitis alkoholik,Muntah,Kulit kekuningan,Sakit perut bagian bawah,Perut bengkak
2298,Hepatitis alkoholik,Muntah,Kulit kekuningan,Sakit perut bagian bawah,Perut bengkak
2299,Hepatitis alkoholik,Muntah,Kulit kekuningan,Sakit perut bagian bawah,Perut bengkak
2300,Tuberkulosis,Demam menggigil,Muntah,Lelah,Penurunan berat badan
2301,Tuberkulosis,Demam menggigil,Muntah,Lelah,Penurunan berat badan
2302,Tuberkulosis,Muntah,Lelah,Penurunan berat badan,Batuk
2303,Tuberkulosis,Demam menggigil,Lelah,Penurunan berat badan,Batuk
2304,Tuberkulosis,Demam menggigil,Muntah,Penurunan berat badan,Batuk
2305,Tuberkulosis,Demam menggigil,Muntah,Lelah,Batuk
2306,Tuberkulosis,Demam menggigil,Muntah,Lelah,Penurunan berat badan
2307,Tuberkulosis,Demam menggigil,Muntah,Lelah,Penurunan berat badan
2308,Tuberkulosis,Demam menggigil,Muntah,Lelah,Penurunan berat badan
2309,Tuberkulosis,Demam menggigil,Muntah,Lelah,Penurunan berat badan
2310,Flu biasa,Bersin terus-menerus,Demam menggigil,Lelah,Batuk
2311,Flu biasa,Bersin terus-menerus,Demam menggigil,Lelah,Batuk
2312,Flu biasa,Demam menggigil,Lelah,Batuk,Demam tinggi
2313,Flu biasa,Bersin terus-menerus,Lelah,Batuk,Demam tinggi
2314,Flu biasa,Bersin terus-menerus,Demam menggigil,Batuk,Demam tinggi
2315,Flu biasa,Bersin terus-menerus,Demam menggigil,Lelah,Demam tinggi
2316,Flu biasa,Bersin terus-menerus,Demam menggigil,Lelah,Batuk
2317,Flu biasa,Bersin terus-menerus,Demam menggigil,Lelah,Batuk
2318,Flu biasa,Bersin terus-menerus,Demam menggigil,Lelah,Batuk
2319,Flu biasa,Bersin terus-menerus,Demam menggigil,Lelah,Batuk
2320,Radang paru-paru,Demam menggigil,Lelah,Batuk,Demam tinggi
2321,Radang paru-paru,Demam menggigil,Lelah,Batuk,Demam tinggi
2322,Radang paru-paru,Demam menggigil,Lelah,Batuk,Demam tinggi
2323,Radang paru-paru,Lelah,Batuk,Demam tinggi,Sesak napas
2324,Radang paru-paru,Demam menggigil,Batuk,Demam tinggi,Sesak napas
2325,Radang paru-paru,Demam menggigil,Lelah,Demam tinggi,Sesak napas
2326,Radang paru-paru,Demam menggigil,Lelah,Batuk,Sesak napas
2327,Radang paru-paru,Demam menggigil,Lelah,Batuk,Demam tinggi
2328,Radang paru-paru,Demam menggigil,Lelah,Batuk,Demam tinggi
2329,Radang paru-paru,Demam menggigil,Lelah,Batuk,Demam tinggi
2330,Wasir dimorfik (ambeien),Susah buang air besar (sembelit),Nyeri saat buang air besar,Nyeri di sekitar anus,Tinja berdarah
2331,Wasir dimorfik (ambeien),Susah buang air besar (sembelit),Nyeri saat buang air besar,Nyeri di sekitar anus,Tinja berdarah
2332,Wasir dimorfik (ambeien),Susah buang air besar (sembelit),Nyeri saat buang air besar,Nyeri di sekitar anus,Tinja berdarah
2333,Wasir dimorfik (ambeien),Nyeri saat buang air besar,Nyeri di sekitar anus,Tinja berdarah,Iritasi pada anus
2334,Wasir dimorfik (ambeien),Susah buang air besar (sembelit),Nyeri di sekitar anus,Tinja berdarah,Iritasi pada anus
2335,Wasir dimorfik (ambeien),Susah buang air besar (sembelit),Nyeri saat buang air besar,Tinja berdarah,Iritasi pada anus
2336,Wasir dimorfik (ambeien),Susah buang air besar (sembelit),Nyeri saat buang air besar,Nyeri di sekitar anus,Iritasi pada anus
2337,Wasir dimorfik (ambeien),Susah buang air besar (sembelit),Nyeri saat buang air besar,Nyeri di sekitar anus,Tinja berdarah
2338,Wasir dimorfik (ambeien),Susah buang air besar (sembelit),Nyeri saat buang air besar,Nyeri di sekitar anus,Tinja berdarah
2339,Wasir dimorfik (ambeien),Susah buang air besar (sembelit),Nyeri saat buang air besar,Nyeri di sekitar anus,Tinja berdarah
2340,Serangan jantung,Muntah,Sesak napas,Berkeringat,Nyeri dada
2341,Serangan jantung,Muntah,Sesak napas,Berkeringat,Nyeri dada
2342,Serangan jantung,Sesak napas,Berkeringat,Nyeri dada,Pusing
2343,Serangan jantung,Muntah,Berkeringat,Nyeri dada,kehilangan kesadaran
2344,Serangan jantung,Muntah,Sesak napas,Nyeri dada,Pusing
2345,Serangan jantung,Muntah,Sesak napas,Berkeringat,kehilangan kesadaran
2346,Serangan jantung,Muntah,Sesak napas,Berkeringat,Nyeri dada
2347,Serangan jantung,Sesak napas,Berkeringat,Nyeri dada,kehilangan kesadaran
2348,Serangan jantung,Muntah,Berkeringat,Nyeri dada,Pusing
2349,Serangan jantung,Muntah,Sesak napas,Nyeri dada,kehilangan kesadaran
2350,Pembuluh mekar,Lelah,Kram,Memar,Obesitas (kelebihan berat badan)
2351,Pembuluh mekar,Lelah,Kram,Memar,Obesitas (kelebihan berat badan)
2352,Pembuluh mekar,Kram,Memar,Obesitas (kelebihan berat badan),Kaki bengkak
2353,Pembuluh mekar,Lelah,Memar,Obesitas (kelebihan berat badan),Kaki bengkak
2354,Pembuluh mekar,Lelah,Kram,Obesitas (kelebihan berat badan),Kaki bengkak
2355,Pembuluh mekar,Lelah,Kram,Memar,Kaki bengkak
2356,Pembuluh mekar,Lelah,Kram,Memar,Obesitas (kelebihan berat badan)
2357,Pembuluh mekar,Lelah,Kram,Memar,Obesitas (kelebihan berat badan)
2358,Pembuluh mekar,Lelah,Kram,Memar,Obesitas (kelebihan berat badan)
2359,Pembuluh mekar,Lelah,Kram,Memar,Obesitas (kelebihan berat badan)
2360,Hipotiroidisme,Lelah,Kenaikan berat badan,Tangan dan kaki terasa dingin,Perubahan suasana hati
2361,Hipotiroidisme,Lelah,Kenaikan berat badan,Tangan dan kaki terasa dingin,Perubahan suasana hati
2362,Hipotiroidisme,Kenaikan berat badan,Tangan dan kaki terasa dingin,Perubahan suasana hati,Lesu
2363,Hipotiroidisme,Kenaikan berat badan,Tangan dan kaki terasa dingin,Perubahan suasana hati,Lesu
2364,Hipotiroidisme,Lelah,Tangan dan kaki terasa dingin,Perubahan suasana hati,Lesu
2365,Hipotiroidisme,Lelah,Kenaikan berat badan,Perubahan suasana hati,Lesu
2366,Hipotiroidisme,Lelah,Kenaikan berat badan,Tangan dan kaki terasa dingin,Lesu
2367,Hipotiroidisme,Lelah,Kenaikan berat badan,Tangan dan kaki terasa dingin,Perubahan suasana hati
2368,Hipotiroidisme,Lelah,Kenaikan berat badan,Tangan dan kaki terasa dingin,Perubahan suasana hati
2369,Hipotiroidisme,Lelah,Kenaikan berat badan,Tangan dan kaki terasa dingin,Perubahan suasana hati
2370,Hipertiroidisme,Lelah,Perubahan suasana hati,Penurunan berat badan,Gelisah
2371,Hipertiroidisme,Lelah,Perubahan suasana hati,Penurunan berat badan,Gelisah
2372,Hipertiroidisme,Perubahan suasana hati,Penurunan berat badan,Gelisah,Berkeringat
2373,Hipertiroidisme,Lelah,Penurunan berat badan,Gelisah,Berkeringat
2374,Hipertiroidisme,Lelah,Perubahan suasana hati,Gelisah,Berkeringat
2375,Hipertiroidisme,Lelah,Perubahan suasana hati,Penurunan berat badan,Berkeringat
2376,Hipertiroidisme,Lelah,Perubahan suasana hati,Penurunan berat badan,Gelisah
2377,Hipertiroidisme,Lelah,Perubahan suasana hati,Penurunan berat badan,Gelisah
2378,Hipertiroidisme,Lelah,Perubahan suasana hati,Penurunan berat badan,Gelisah
2379,Hipertiroidisme,Lelah,Perubahan suasana hati,Penurunan berat badan,Gelisah
2380,Hipoglikemia,Muntah,Lelah,Cemas,Berkeringat
2381,Hipoglikemia,Muntah,Lelah,Cemas,Berkeringat
2382,Hipoglikemia,Muntah,Lelah,Cemas,Berkeringat
2383,Hipoglikemia,Lelah,Cemas,Berkeringat,Sakit kepala
2384,Hipoglikemia,Muntah,Cemas,Berkeringat,Sakit kepala
2385,Hipoglikemia,Muntah,Lelah,Berkeringat,Sakit kepala
2386,Hipoglikemia,Muntah,Lelah,Cemas,Sakit kepala
2387,Hipoglikemia,Muntah,Lelah,Cemas,Berkeringat
2388,Hipoglikemia,Muntah,Lelah,Cemas,Berkeringat
2389,Hipoglikemia,Muntah,Lelah,Cemas,Berkeringat
2390,Osteoartritis,Nyeri sendi,Sakit leher,Nyeri lutut,Nyeri sendi pinggul
2391,Osteoartritis,Nyeri sendi,Sakit leher,Nyeri lutut,Nyeri sendi pinggul
2392,Osteoartritis,Sakit leher,Nyeri lutut,Nyeri sendi pinggul,Sendi bengkak
2393,Osteoartritis,Nyeri sendi,Nyeri lutut,Nyeri sendi pinggul,Sendi bengkak
2394,Osteoartritis,Nyeri sendi,Sakit leher,Nyeri sendi pinggul,Sendi bengkak
2395,Osteoartritis,Nyeri sendi,Sakit leher,Nyeri lutut,Sendi bengkak
2396,Osteoartritis,Nyeri sendi,Sakit leher,Nyeri lutut,Nyeri sendi pinggul
2397,Osteoartritis,Nyeri sendi,Sakit leher,Nyeri lutut,Nyeri sendi pinggul
2398,Osteoartritis,Nyeri sendi,Sakit leher,Nyeri lutut,Nyeri sendi pinggul
2399,Osteoartritis,Nyeri sendi,Sakit leher,Nyeri lutut,Nyeri sendi pinggul
2400,Radang sendi,Lemah otot,Leher kaku,Sendi bengkak,Kaku saat bergerak
2401,Radang sendi,Lemah otot,Leher kaku,Sendi bengkak,Kaku saat bergerak
2402,Radang sendi,Leher kaku,Sendi bengkak,Kaku saat bergerak,Nyeri saat berjalan
2403,Radang sendi,Lemah otot,Sendi bengkak,Kaku saat bergerak,Nyeri saat berjalan
2404,Radang sendi,Lemah otot,Leher kaku,Kaku saat bergerak,Nyeri saat berjalan
2405,Radang sendi,Lemah otot,Leher kaku,Sendi bengkak,Nyeri saat berjalan
2406,Radang sendi,Lemah otot,Leher kaku,Sendi bengkak,Kaku saat bergerak
2407,Radang sendi,Lemah otot,Leher kaku,Sendi bengkak,Kaku saat bergerak
2408,Radang sendi,Lemah otot,Leher kaku,Sendi bengkak,Kaku saat bergerak
2409,Radang sendi,Lemah otot,Leher kaku,Sendi bengkak,Kaku saat bergerak
2410,(vertigo) Vertigo Posisi Paroymsal,Muntah,Sakit kepala,Mual,Rasa berputar (vertigo)
2411,(vertigo) Vertigo Posisi Paroymsal,Muntah,Sakit kepala,Mual,Rasa berputar (vertigo)
2412,(vertigo) Vertigo Posisi Paroymsal,Sakit kepala,Mual,Rasa berputar (vertigo),Kehilangan keseimbangan
2413,(vertigo) Vertigo Posisi Paroymsal,Muntah,Mual,Rasa berputar (vertigo),Kehilangan keseimbangan
2414,(vertigo) Vertigo Posisi Paroymsal,Muntah,Sakit kepala,Rasa berputar (vertigo),Kehilangan keseimbangan
2415,(vertigo) Vertigo Posisi Paroymsal,Muntah,Sakit kepala,Mual,Kehilangan keseimbangan
2416,(vertigo) Vertigo Posisi Paroymsal,Muntah,Sakit kepala,Mual,Rasa berputar (vertigo)
2417,(vertigo) Vertigo Posisi Paroymsal,Muntah,Sakit kepala,Mual,Rasa berputar (vertigo)
2418,(vertigo) Vertigo Posisi Paroymsal,Muntah,Sakit kepala,Mual,Rasa berputar (vertigo)
2419,(vertigo) Vertigo Posisi Paroymsal,Muntah,Sakit kepala,Mual,Kehilangan keseimbangan
2420,Jerawat,Ruam kulit,Jerawat bernanah,Komedo,kulit berminyak
2421,Jerawat,Ruam kulit,Jerawat bernanah,Komedo,kulit berminyak
2422,Jerawat,Jerawat bernanah,Komedo,kulit berminyak,peradangan
2423,Jerawat,Ruam kulit,Komedo,kulit berminyak,Gatal
2424,Jerawat,Ruam kulit,Jerawat bernanah,kulit berminyak,irritasi
2425,Jerawat,Ruam kulit,Jerawat bernanah,Komedo,peradangan
2426,Jerawat,Ruam kulit,Jerawat bernanah,Komedo,kulit berminyak
2427,Jerawat,Ruam kulit,Jerawat bernanah,Komedo,irritasi
2428,Jerawat,Ruam kulit,Jerawat bernanah,kulit berminyak,peradangan
2429,Jerawat,Ruam kulit,Komedo,kulit berminyak,Gatal
2430,Infeksi saluran kemih,Rasa panas saat buang air kecil,Tidak nyaman di kandung kemih,bau_pesing_yang_busuk,Rasa ingin buang air kecil terus-menerus
2431,Infeksi saluran kemih,Rasa panas saat buang air kecil,Tidak nyaman di kandung kemih,bau_pesing_yang_busuk,Rasa ingin buang air kecil terus-menerus
2432,Infeksi saluran kemih,Tidak nyaman di kandung kemih,bau_pesing_yang_busuk,Rasa ingin buang air kecil terus-menerus,nyeri_pada_perut_bagian_bawah
2433,Infeksi saluran kemih,Rasa panas saat buang air kecil,bau_pesing_yang_busuk,Rasa ingin buang air kecil terus-menerus,nyeri_pada_perut_bagian_bawah
2434,Infeksi saluran kemih,Rasa panas saat buang air kecil,Tidak nyaman di kandung kemih,Rasa ingin buang air kecil terus-menerus,Mual
2435,Infeksi saluran kemih,Rasa panas saat buang air kecil,Tidak nyaman di kandung kemih,bau_pesing_yang_busuk,nyeri_pada_perut_bagian_bawah
2436,Infeksi saluran kemih,Rasa panas saat buang air kecil,Tidak nyaman di kandung kemih,bau_pesing_yang_busuk,Rasa ingin buang air kecil terus-menerus
2437,Infeksi saluran kemih,Rasa panas saat buang air kecil,Tidak nyaman di kandung kemih,Rasa ingin buang air kecil terus-menerus,nyeri_pada_perut_bagian_bawah
2438,Infeksi saluran kemih,Tidak nyaman di kandung kemih,bau_pesing_yang_busuk,Rasa ingin buang air kecil terus-menerus,Mual
2439,Infeksi saluran kemih,Rasa panas saat buang air kecil,Tidak nyaman di kandung kemih,Rasa ingin buang air kecil terus-menerus,nyeri_pada_perut_bagian_bawah
2440,Psoriasis,Ruam kulit,Nyeri sendi,Kulit mengelupas,Lapisan putih seperti serpihan di kulit
2441,Psoriasis,Ruam kulit,Nyeri sendi,Kulit mengelupas,Lapisan putih seperti serpihan di kulit
2442,Psoriasis,Nyeri sendi,Kulit mengelupas,Lapisan putih seperti serpihan di kulit,Lekukan kecil pada kuku
2443,Psoriasis,Ruam kulit,Kulit mengelupas,Lapisan putih seperti serpihan di kulit,Lekukan kecil pada kuku
2444,Psoriasis,Ruam kulit,Nyeri sendi,Lapisan putih seperti serpihan di kulit,Lekukan kecil pada kuku
2445,Psoriasis,Ruam kulit,Nyeri sendi,Kulit mengelupas,Lekukan kecil pada kuku
2446,Psoriasis,Ruam kulit,Nyeri sendi,Kulit mengelupas,Lapisan putih seperti serpihan di kulit
2447,Psoriasis,Ruam kulit,Nyeri sendi,Kulit mengelupas,Lapisan putih seperti serpihan di kulit
2448,Psoriasis,Ruam kulit,Nyeri sendi,Kulit mengelupas,Lapisan putih seperti serpihan di kulit
2449,Psoriasis,Ruam kulit,Nyeri sendi,Kulit mengelupas,Lapisan putih seperti serpihan di kulit
2450,Impetigo,Ruam kulit,Demam tinggi,Lepuh,Luka merah di sekitar hidung
2451,Impetigo,Ruam kulit,Demam tinggi,Lepuh,Luka merah di sekitar hidung
2452,Impetigo,Demam tinggi,Lepuh,Luka merah di sekitar hidung,Kerak kuning yang keluar cairan
2453,Impetigo,Ruam kulit,Lepuh,Luka merah di sekitar hidung,Kerak kuning yang keluar cairan
2454,Impetigo,Ruam kulit,Lepuh,Luka merah di sekitar hidung,Kerak kuning yang keluar cairan
2455,Impetigo,Ruam kulit,Demam tinggi,Luka merah di sekitar hidung,Kerak kuning yang keluar cairan
2456,Impetigo,Ruam kulit,Demam tinggi,Lepuh,Kerak kuning yang keluar cairan
2457,Impetigo,Ruam kulit,Demam tinggi,Lepuh,Luka merah di sekitar hidung
2458,Impetigo,Ruam kulit,Demam tinggi,Lepuh,Luka merah di sekitar hidung
2459,Impetigo,Ruam kulit,Lepuh,Luka merah di sekitar hidung,Kerak kuning yang keluar cairan
2460,Infeksi jamur,Gatal,Ruam kulit,Benjolan kulit,bercak diskromik
2461,Alergi,Bersin terus-menerus,Gemetar,Demam menggigil,Mata berair
2462,Penyakit GERD,Sakit perut,Asam lambung naik,Luka di lidah,Muntah
2463,Kolestasis kronis,Gatal,Muntah,Kulit kekuningan,Mual
2464,Reaksi Obat,Gatal,Ruam kulit,Sakit perut,Rasa panas saat buang air kecil
2465,Penyakit tukak lambung,Muntah,Perut terasa tidak nyaman,Hilang nafsu makan,Sakit perut bagian bawah
2466,AIDS,Penyusutan otot,Bercak di tenggorokan,Demam tinggi,Hubungan di luar pernikahan
2467,Diabetes,Lelah,Penurunan berat badan,Gelisah,Lesu
2468,Radang perut,Muntah,Mata cekung,Kekurangan cairan (dehidrasi),Diare
2469,Asma Bronkial,Lelah,Batuk,Demam tinggi,Sesak napas
2470,Hipertensi,Sakit kepala,Nyeri dada,Pusing,Kehilangan keseimbangan
2471,Migrain,Asam lambung naik,Perut terasa tidak nyaman,Sakit kepala,Pandangan kabur
2472,Spondilosis serviks,Nyeri punggung,Kelemahan pada tangan atau kaki,Sakit leher,Pusing
2473,Kelumpuhan (pendarahan otak),Muntah,Sakit kepala,Lemah di satu sisi tubuh,Kesadaran terganggu
2474,Penyakit kuning,Gatal,Muntah,Lelah,Penurunan berat badan
2475,Malaria,Demam menggigil,Muntah,Demam tinggi,Berkeringat
2476,Cacar air,Gatal,Ruam kulit,Lelah,Lesu
2477,Demam Berdarah,Ruam kulit,Demam menggigil,Nyeri sendi,Muntah
2478,Penyakit tipus,Demam menggigil,Muntah,Lelah,Demam tinggi
2479,penyakit hepatitis A,Nyeri sendi,Muntah,Kulit kekuningan,Urin berwarna gelap
2480,Penyakit Hepatitis B,Gatal,Lelah,Lesu,Kulit kekuningan
2481,Penyakit Hepatitis C,Lelah,Kulit kekuningan,Mual,Hilang nafsu makan
2482,Penyakit Hepatitis D.,Nyeri sendi,Muntah,Lelah,Kulit kekuningan
2483,Hepatitis E,Nyeri sendi,Muntah,Lelah,Demam tinggi
2484,Hepatitis alkoholik,Muntah,Kulit kekuningan,Sakit perut bagian bawah,Perut bengkak
2485,Tuberkulosis,Demam menggigil,Muntah,Lelah,Penurunan berat badan
2486,Flu biasa,Bersin terus-menerus,Demam menggigil,Lelah,Batuk
2487,Radang paru-paru,Demam menggigil,Lelah,Batuk,Demam tinggi
2488,Wasir dimorfik (ambeien),Susah buang air besar (sembelit),Nyeri saat buang air besar,Nyeri di sekitar anus,Tinja berdarah
2489,Serangan jantung,Muntah,Sesak napas,Berkeringat,Nyeri dada
2490,Pembuluh mekar,Lelah,Kram,Memar,Obesitas (kelebihan berat badan)
2491,Hipotiroidisme,Lelah,Kenaikan berat badan,Tangan dan kaki terasa dingin,Perubahan suasana hati
2492,Hipertiroidisme,Lelah,Perubahan suasana hati,Penurunan berat badan,Gelisah
2493,Hipoglikemia,Muntah,Lelah,Cemas,Berkeringat
2494,Osteoartritis,Nyeri sendi,Sakit leher,Nyeri lutut,Nyeri sendi pinggul
2495,Radang sendi,Lemah otot,Leher kaku,Sendi bengkak,Kaku saat bergerak
2496,(vertigo) Vertigo Posisi Paroymsal,Muntah,Sakit kepala,Mual,Rasa berputar (vertigo)
2497,Jerawat,Ruam kulit,Jerawat bernanah,Komedo,kulit berminyak
2498,Infeksi saluran kemih,Rasa panas saat buang air kecil,Tidak nyaman di kandung kemih,bau_pesing_yang_busuk,Rasa ingin buang air kecil terus-menerus
2499,Psoriasis,Ruam kulit,Nyeri sendi,Kulit mengelupas,Lapisan putih seperti serpihan di kulit
2500,Impetigo,Ruam kulit,Demam tinggi,Lepuh,Luka merah di sekitar hidung
2501,Infeksi jamur,Gatal,Ruam kulit,Benjolan kulit,bercak diskromik
2502,Alergi,Bersin terus-menerus,Gemetar,Demam menggigil,Mata berair
2503,Penyakit GERD,Sakit perut,Asam lambung naik,Luka di lidah,Muntah
2504,Kolestasis kronis,Gatal,Muntah,Kulit kekuningan,Mual
2505,Reaksi Obat,Gatal,Ruam kulit,Sakit perut,Rasa panas saat buang air kecil
2506,Penyakit tukak lambung,Muntah,Perut terasa tidak nyaman,Hilang nafsu makan,Sakit perut bagian bawah
2507,AIDS,Penyusutan otot,Bercak di tenggorokan,Demam tinggi,Hubungan di luar pernikahan
2508,Diabetes,Lelah,Penurunan berat badan,Gelisah,Lesu
2509,Radang perut,Muntah,Mata cekung,Kekurangan cairan (dehidrasi),Diare
2510,Asma Bronkial,Lelah,Batuk,Demam tinggi,Sesak napas
2511,Hipertensi,Sakit kepala,Nyeri dada,Pusing,Kehilangan keseimbangan
2512,Migrain,Asam lambung naik,Perut terasa tidak nyaman,Sakit kepala,Pandangan kabur
2513,Spondilosis serviks,Nyeri punggung,Kelemahan pada tangan atau kaki,Sakit leher,Pusing
2514,Kelumpuhan (pendarahan otak),Muntah,Sakit kepala,Lemah di satu sisi tubuh,Kesadaran terganggu
2515,Penyakit kuning,Gatal,Muntah,Lelah,Penurunan berat badan
2516,Malaria,Demam menggigil,Muntah,Demam tinggi,Berkeringat
2517,Cacar air,Gatal,Ruam kulit,Lelah,Lesu
2518,Demam Berdarah,Ruam kulit,Demam menggigil,Nyeri sendi,Muntah
2519,Penyakit tipus,Demam menggigil,Muntah,Lelah,Demam tinggi
2520,penyakit hepatitis A,Nyeri sendi,Muntah,Kulit kekuningan,Urin berwarna gelap
2521,Penyakit Hepatitis B,Gatal,Lelah,Lesu,Kulit kekuningan
2522,Penyakit Hepatitis C,Lelah,Kulit kekuningan,Mual,Hilang nafsu makan
2523,Penyakit Hepatitis D.,Nyeri sendi,Muntah,Lelah,Kulit kekuningan
2524,Hepatitis E,Nyeri sendi,Muntah,Lelah,Demam tinggi
2525,Hepatitis alkoholik,Muntah,Kulit kekuningan,Sakit perut bagian bawah,Perut bengkak
2526,Tuberkulosis,Demam menggigil,Muntah,Lelah,Penurunan berat badan
2527,Flu biasa,Bersin terus-menerus,Demam menggigil,Lelah,Batuk
2528,Radang paru-paru,Demam menggigil,Lelah,Batuk,Demam tinggi
2529,Wasir dimorfik (ambeien),Susah buang air besar (sembelit),Nyeri saat buang air besar,Nyeri di sekitar anus,Tinja berdarah
2530,Serangan jantung,Muntah,Sesak napas,Berkeringat,Nyeri dada
2531,Pembuluh mekar,Lelah,Kram,Memar,Obesitas (kelebihan berat badan)
2532,Hipotiroidisme,Lelah,Kenaikan berat badan,Tangan dan kaki terasa dingin,Perubahan suasana hati
2533,Hipertiroidisme,Lelah,Perubahan suasana hati,Penurunan berat badan,Gelisah
2534,Hipoglikemia,Muntah,Lelah,Cemas,Berkeringat
2535,Osteoartritis,Nyeri sendi,Sakit leher,Nyeri lutut,Nyeri sendi pinggul
2536,Radang sendi,Lemah otot,Leher kaku,Sendi bengkak,Kaku saat bergerak
2537,(vertigo) Vertigo Posisi Paroymsal,Muntah,Sakit kepala,Mual,Rasa berputar (vertigo)
2538,Jerawat,Ruam kulit,Jerawat bernanah,Komedo,kulit berminyak
2539,Infeksi saluran kemih,Rasa panas saat buang air kecil,Tidak nyaman di kandung kemih,bau_pesing_yang_busuk,Rasa ingin buang air kecil terus-menerus
2540,Psoriasis,Ruam kulit,Nyeri sendi,Kulit mengelupas,Lapisan putih seperti serpihan di kulit
2541,Impetigo,Ruam kulit,Demam tinggi,Lepuh,Luka merah di sekitar hidung
2542,Infeksi jamur,Gatal,Ruam kulit,Benjolan kulit,bercak diskromik
2543,Alergi,Bersin terus-menerus,Gemetar,Demam menggigil,Mata berair
2544,Penyakit GERD,Sakit perut,Asam lambung naik,Luka di lidah,Muntah
2545,Kolestasis kronis,Gatal,Muntah,Kulit kekuningan,Mual
